7;16;2;hamming;23;44;146;136;0.13;22691.0;88.89;39.42;
7;16;2;hamming;23;43;145;136;0.13;22902.0;89.13;39.48;
8;7;3;hann;36;37;178;66;0.11;5889496.0;38.54;0;
8;16;1;hamming;19;24;952;35;0.19;35199.0;85.89;35.46;
8;16;1;hamming;20;24;952;36;0.2;36419.0;86.69;35.54;
8;16;1;hamming;20;25;952;36;0.09;36363.0;86.69;35.55;
8;16;1;hann;19;23;950;35;0.16;35315.0;86.72;35.78;
8;16;1;hamming;20;23;951;35;0.2;36176.0;87.5;35.92;
8;16;2;hamming;23;43;145;136;0.27;22838.0;87.5;38.78;
8;16;2;hamming;22;43;145;135;0.27;22429.0;87.5;38.86;
8;16;2;hann;22;43;145;135;0.12;22295.0;88.04;39.13;
8;16;2;hamming;23;44;146;136;0.12;22852.0;89.44;39.63;
9;7;3;hann;36;37;178;66;0.09;5890428.0;38.55;0;
9;16;1;hamming;20;25;952;36;0.07;36351.0;87.5;35.88;
9;16;2;hamming;21;42;144;134;0.19;22408.0;86.41;38.38;
9;16;1;hann;22;43;145;136;0.21;22637.0;86.96;38.58;
9;16;2;hamming;22;43;145;135;0.19;22606.0;86.96;38.59;
9;16;1;hann;23;44;145;135;0.06;22705.0;87.22;38.68;
9;16;2;hann;22;43;145;135;0.06;22335.0;87.5;38.88;
9;16;2;hann;22;43;144;134;0.06;22194.0;88.04;39.16;
9;16;2;hamming;23;43;145;136;0.21;22810.0;88.59;39.26;
9;16;2;hamming;23;44;146;136;0.06;22727.0;89.44;39.66;
10;7;3;hann;36;37;178;66;0.11;5899915.0;38.77;0;
10;16;2;hann;22;43;145;135;0.09;22367.0;86.41;38.39;
10;16;2;hann;22;43;144;134;0.08;22188.0;86.96;38.68;
10;16;2;hamming;21;43;144;134;0.08;21836.0;86.96;38.75;
10;16;1;hann;22;43;145;136;0.27;22381.0;87.5;38.87;
10;16;1;hann;21;42;143;134;0.2;22289.0;87.5;38.89;
10;16;2;hamming;23;43;145;136;0.24;22791.0;88.04;39.03;
10;16;2;hamming;22;43;145;135;0.23;22354.0;88.04;39.12;
10;16;1;hann;23;44;145;135;0.06;22514.0;88.33;39.21;
10;16;2;hamming;23;44;146;136;0.11;22833.0;88.89;39.39;
11;7;3;hann;36;37;178;66;0.11;5758185.0;38.72;0;
11;16;2;hann;22;43;144;134;0.06;22613.0;87.5;38.82;
11;16;2;hann;22;43;145;135;0.11;22590.0;87.5;38.83;
11;16;1;hann;21;43;143;133;0.06;21788.0;87.5;39;
11;16;2;hamming;23;43;145;136;0.36;22804.0;88.04;39.02;
11;16;2;hamming;23;44;146;136;0.17;22750.0;88.33;39.16;
11;16;1;hann;23;44;145;135;0.05;22586.0;88.33;39.2;
11;16;2;hamming;21;43;144;134;0.09;21945.0;88.04;39.21;
11;16;1;hamming;23;43;144;135;0.05;22760.0;88.59;39.28;
11;16;2;hamming;22;43;146;135;0.17;22420.0;88.59;39.35;
12;7;3;hann;36;37;178;66;0.14;5900285.0;38.88;0;
12;16;2;hamming;22;43;146;135;0.15;22363.0;87.5;38.88;
12;16;1;hamming;22;43;143;135;0.06;22230.0;87.5;38.91;
12;16;1;hann;23;44;145;135;0.03;22719.0;87.78;38.93;
12;16;2;hamming;23;43;145;136;0.29;22812.0;88.04;39.02;
12;16;2;hamming;21;43;144;134;0.09;21869.0;88.04;39.23;
12;16;1;hamming;22;43;145;136;0.18;22480.0;88.59;39.34;
12;16;2;hamming;23;44;146;136;0.18;22716.0;88.89;39.42;
